First Name,Last Name,Business Name,Street Address,City,State,Zip Code,Scraped Info,Purchase Item,Purchase Date,Purchase Quantity,Client Type,Customer Profile,"Date, First Purchase - Last Purchase",Customer Summary,Model of Communication,Frequency,Outcome
Chad,Stewart,Cole PLC,129 Cynthia Skyway,Morrisonbury,Hawaii,60261,Join meeting three organization the affect wonder.,Facial,2024-01-15,34,Frequent,"Data processing manager, with interest in beauty salon","2023-06-26, 2023-05-26 - 2024-01-15","Data processing manager, with interest in beauty salon. Engaged via Not Answered, Frequent frequency. Outcome: Not Interested. Purchased: 34 units of Facial on 2023-06-26.",Not Answered,Frequent,Not Interested
Frank,Fleming,Garcia and Sons,528 Kaufman Motorway Suite 547,Josephfort,Idaho,29283,Line into small college low seat cold trade morning office operation election must.,Manicure,2023-06-09,48,Occasional,"Civil engineer, contracting, with interest in beauty salon","2023-05-27, 2023-02-10 - 2023-06-09","Civil engineer, contracting, with interest in beauty salon. Engaged via Called, Occasional frequency. Outcome: Signed Up. Purchased: 48 units of Manicure on 2023-05-27.",Called,Occasional,Signed Up
Mary,Hebert,"Watts, David and Roberts",0722 Beverly Orchard Suite 142,New Scott,Arizona,59112,Bag detail return concern out happen shoulder cause enter life anyone.,Facial,2024-07-23,49,Frequent,"Set designer, with interest in beauty salon","2024-04-08, 2022-12-11 - 2024-07-23","Set designer, with interest in beauty salon. Engaged via Emailed, Frequent frequency. Outcome: Scheduled Appointment. Purchased: 49 units of Facial on 2024-04-08.",Emailed,Frequent,Scheduled Appointment
Antonio,Knight,"Dunn, Bell and Jones",05056 Shari Fort Apt. 621,Markbury,Arkansas,24143,Agreement religious someone data just full data size also lay.,Manicure,2024-10-08,68,One-time,"Psychiatrist, with interest in beauty salon","2024-05-28, 2022-08-04 - 2024-10-08","Psychiatrist, with interest in beauty salon. Engaged via Meeting Set Up, One-time frequency. Outcome: Scheduled Appointment. Purchased: 68 units of Manicure on 2024-05-28.",Meeting Set Up,One-time,Scheduled Appointment
April,Rodriguez,"Lopez, Gibson and Gonzalez",7928 Cherry Camp Apt. 840,Reginastad,Colorado,01544,Management message knowledge couple example sense.,Hair Coloring,2025-02-28,79,Occasional,"Electrical engineer, with interest in beauty salon","2023-05-04, 2022-09-22 - 2025-02-28","Electrical engineer, with interest in beauty salon. Engaged via Emailed, Occasional frequency. Outcome: Pending Decision. Purchased: 79 units of Hair Coloring on 2023-05-04.",Emailed,Occasional,Pending Decision
Michaela,Gomez,Austin and Sons,41602 Rebecca Wells,Brownbury,Nevada,77912,Ask rich theory security leader including middle sign behavior.,Haircut,2025-02-13,66,Occasional,"Soil scientist, with interest in beauty salon","2023-08-02, 2023-01-02 - 2025-02-13","Soil scientist, with interest in beauty salon. Engaged via Responded, Occasional frequency. Outcome: Requested Info. Purchased: 66 units of Haircut on 2023-08-02.",Responded,Occasional,Requested Info
Andrew,Miller,"Duncan, Richardson and Horne",319 Blevins Crossroad Apt. 124,Port Deborahland,Idaho,04630,Administration nearly note air Republican manager behavior once into defense along since.,Haircut,2025-04-02,91,Frequent,"Adult nurse, with interest in beauty salon","2025-04-01, 2023-05-03 - 2025-04-02","Adult nurse, with interest in beauty salon. Engaged via Responded, Frequent frequency. Outcome: Requested Info. Purchased: 91 units of Haircut on 2025-04-01.",Responded,Frequent,Requested Info
Heather,Lopez,"Rodriguez, Murphy and Nielsen",4560 Nathaniel Lakes Apt. 011,Emmaville,North Dakota,31835,Try kind consumer security suddenly key reason food defense.,Facial,2025-02-13,45,Frequent,"Theatre stage manager, with interest in beauty salon","2024-12-01, 2022-12-12 - 2025-02-13","Theatre stage manager, with interest in beauty salon. Engaged via Not Answered, Frequent frequency. Outcome: Signed Up. Purchased: 45 units of Facial on 2024-12-01.",Not Answered,Frequent,Signed Up
Jane,Salazar,Coleman-Hernandez,5516 Williamson Walk,East Riley,Oregon,47186,Response your ahead hard watch summer idea why political black middle college.,Facial,2024-12-15,35,One-time,"Sales promotion account executive, with interest in beauty salon","2024-12-03, 2022-04-24 - 2024-12-15","Sales promotion account executive, with interest in beauty salon. Engaged via Not Answered, One-time frequency. Outcome: Not Interested. Purchased: 35 units of Facial on 2024-12-03.",Not Answered,One-time,Not Interested
Robert,Gillespie,Lang-Baldwin,941 Garcia Wall,Port Summer,Nevada,79626,Throw wind camera nearly side thought institution.,Facial,2024-03-04,83,Frequent,"Pilot, airline, with interest in beauty salon","2024-01-24, 2022-08-28 - 2024-03-04","Pilot, airline, with interest in beauty salon. Engaged via Called, Frequent frequency. Outcome: Pending Decision. Purchased: 83 units of Facial on 2024-01-24.",Called,Frequent,Pending Decision
