First Name,Last Name,Business Name,Street Address,City,State,Zip Code,Scraped Info,Purchase Item,Purchase Date,Purchase Quantity,Client Type,Customer Profile,"Date, First Purchase - Last Purchase",Customer Summary
Ashley,Harris,Brown Ltd,0292 Sherry Junctions,Sweeneyville,Virginia,88949,Report note mean others find during something.,Cheese,16-05-2025,77,Only Once,"Engineer, energy with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce.","2025-03-05, 2025-01-28 - 2025-05-16","Engineer, energy with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce. Purchased: 77 units of Cheese on 2025-03-05."
Juan,Guerra,Spencer and Sons,49058 Crystal Corners Suite 150,Patriciamouth,Kentucky,3940,Agreement thing population sit cup think three that allow.,Berries,11-07-2024,47,Frequent,Lawyer with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce.,"2024-06-02, 2023-12-18 - 2024-07-11",Lawyer with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce. Purchased: 47 units of Berries on 2024-06-02.
Benjamin,Chandler,Mitchell PLC,25833 Hall Viaduct Suite 588,Jonesville,Texas,32556,On nearly system citizen hospital me record put.,Tomatoes,30-08-2024,50,Rare,Information systems manager with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce.,"2024-07-23, 2024-02-25 - 2024-08-30",Information systems manager with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce. Purchased: 50 units of Tomatoes on 2024-07-23.
Julia,Smith,Tran and Sons,88075 Kaiser Greens,Jesseburgh,Montana,47623,Lay major tree mind office fast.,Milk,22-08-2024,13,Only Once,"Education officer, environmental with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce.","2024-06-22, 2024-01-27 - 2024-08-22","Education officer, environmental with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce. Purchased: 13 units of Milk on 2024-06-22."
Derek,Wilson,Cardenas-Floyd,629 Brown Turnpike,Smithport,Idaho,59816,Mind real usually political exist they may former letter deal attention minute road.,Carrots,21-09-2024,35,Instable,Operational researcher with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce.,"2024-08-27, 2024-04-03 - 2024-09-21",Operational researcher with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce. Purchased: 35 units of Carrots on 2024-08-27.
Micheal,Chase,Watson-Taylor,4315 Harris Village Suite 562,Port Denise,Illinois,71322,Present argue understand yard take effort smile north religious newspaper.,Yogurt,17-11-2024,96,Only Once,Horticultural consultant with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce.,"2024-11-15, 2024-07-22 - 2024-11-17",Horticultural consultant with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce. Purchased: 96 units of Yogurt on 2024-11-15.
Nicole,Gibson,Walker Inc,78494 Hunter Expressway,Michaelstad,Missouri,22675,Itself both cold region special year dog road line other life.,Tomatoes,04-12-2024,83,Only Once,Air cabin crew with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce.,"2024-10-31, 2024-05-06 - 2024-12-04",Air cabin crew with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce. Purchased: 83 units of Tomatoes on 2024-10-31.
Andrew,Smith,Nunez-Moore,9380 Davis Hollow,New John,North Dakota,25968,Blood able instead respond unit camera during.,Berries,11-01-2025,42,Only Once,"Pharmacist, community with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce.","2024-12-20, 2024-08-26 - 2025-01-11","Pharmacist, community with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce. Purchased: 42 units of Berries on 2024-12-20."
Sarah,Wood,"Ellis, Rogers and Lopez",79247 Anne Valleys Suite 138,Stevensfort,Delaware,84401,Daughter him statement big exactly yes hot appear phone officer system generation.,Yogurt,14-06-2025,61,Instable,Cartographer with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce.,"2025-03-29, 2024-10-01 - 2025-06-14",Cartographer with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce. Purchased: 61 units of Yogurt on 2025-03-29.
Steven,Hayes,Smith-Kelley,1757 Mcintyre Forges Suite 875,Nancyton,Michigan,32079,Political positive dark science apply smile have measure dog southern window.,Tomatoes,12-05-2025,13,Instable,Government social research officer with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce.,"2025-03-08, 2024-12-26 - 2025-05-12",Government social research officer with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce. Purchased: 13 units of Tomatoes on 2025-03-08.
