First Name,Last Name,Business Name,Street Address,City,State,Zip Code,Scraped Info,Purchase Item,Purchase Date,Purchase Quantity,Client Type,Customer Profile,"Date, First Purchase - Last Purchase",Customer Summary,Model of Communication,Frequency,Outcome
John,Flores,"Roberts, Davis and Figueroa",0829 Singleton Views Suite 853,North Sarahmouth,Rhode Island,50358,Goal million task several partner beat leg.,Hawaiian,2025-03-13,1,1 times,"Glass blower/designer, pizza enthusiast","2024-05-10, 2023-09-01 - 2025-03-13","Glass blower/designer, pizza enthusiast. Contacted via Online Chat 1 times. Outcome: Scheduled Pickup. Ordered 1x Hawaiian on 2024-05-10.",Online Chat,1,Scheduled Pickup
Rebecca,Pruitt,Dorsey-Mullins,1444 Johnson Rapids Apt. 574,Bairdshire,Georgia,32927,Beat how case voice college next best only.,Pepperoni,2024-09-04,1,5 times,"Engineer, mining, pizza enthusiast","2024-07-20, 2024-06-15 - 2024-09-04","Engineer, mining, pizza enthusiast. Contacted via Call 5 times. Outcome: Ordered Again. Ordered 1x Pepperoni on 2024-07-20.",Call,5,Ordered Again
Victoria,Ruiz,"Morgan, Roberts and Hart",71587 Erin Mills,New Andreaport,Maryland,89078,Eight production off account upon before fall pressure good hot resource although.,Margherita,2025-02-05,1,4 times,"Lecturer, higher education, pizza enthusiast","2024-10-28, 2024-07-28 - 2025-02-05","Lecturer, higher education, pizza enthusiast. Contacted via In-Person 4 times. Outcome: Scheduled Pickup. Ordered 1x Margherita on 2024-10-28.",In-Person,4,Scheduled Pickup
Amy,Harris,Bruce-Golden,6242 Stephen Fall,West Jason,Alaska,80232,Remember middle so perform truth age great important situation at approach watch first.,Meat Lovers,2025-02-08,1,2 times,"Orthoptist, pizza enthusiast","2024-09-20, 2023-10-12 - 2025-02-08","Orthoptist, pizza enthusiast. Contacted via SMS 2 times. Outcome: Scheduled Pickup. Ordered 1x Meat Lovers on 2024-09-20.",SMS,2,Scheduled Pickup
Cynthia,Flores,Shelton and Sons,924 Debra Circles,South Priscillaborough,Ohio,04639,Film see network compare send production candidate common upon race which return.,Margherita,2024-09-23,5,10 times,"Press sub, pizza enthusiast","2024-08-29, 2023-12-10 - 2024-09-23","Press sub, pizza enthusiast. Contacted via SMS 10 times. Outcome: Requested Offer. Ordered 5x Margherita on 2024-08-29.",SMS,10,Requested Offer
Janice,Hansen,Buchanan-Sutton,480 Mcdonald Estate Suite 648,North Jenniferport,West Virginia,37758,Guess shoulder into reduce mean speak relationship church take piece.,Margherita,2025-04-20,2,6 times,"Sub, pizza enthusiast","2025-01-10, 2023-09-18 - 2025-04-20","Sub, pizza enthusiast. Contacted via Email 6 times. Outcome: Scheduled Pickup. Ordered 2x Margherita on 2025-01-10.",Email,6,Scheduled Pickup
Patrick,Joseph,Strickland and Sons,5804 Steven Plain Apt. 607,Christopherfort,Georgia,52863,Break policy move recently treatment account draw treat that use.,Veggie Delight,2025-03-06,3,1 times,"Hydrologist, pizza enthusiast","2024-09-30, 2023-11-25 - 2025-03-06","Hydrologist, pizza enthusiast. Contacted via SMS 1 times. Outcome: No Reply. Ordered 3x Veggie Delight on 2024-09-30.",SMS,1,No Reply
Edward,Palmer,Hill PLC,816 Erin Harbor,Parkerburgh,Vermont,99616,Himself single trade beautiful send then.,Pepperoni,2025-02-03,3,1 times,"Pharmacist, hospital, pizza enthusiast","2024-06-19, 2024-06-13 - 2025-02-03","Pharmacist, hospital, pizza enthusiast. Contacted via Call 1 times. Outcome: Scheduled Pickup. Ordered 3x Pepperoni on 2024-06-19.",Call,1,Scheduled Pickup
Michael,Garcia,Kelley-Atkins,4484 Kaufman Flat Apt. 802,Lake Matthew,Kansas,16278,Include receive attention anything again arm kind whatever east.,Cheese Burst,2025-01-12,5,2 times,"Press photographer, pizza enthusiast","2024-11-21, 2024-02-28 - 2025-01-12","Press photographer, pizza enthusiast. Contacted via In-Person 2 times. Outcome: Scheduled Pickup. Ordered 5x Cheese Burst on 2024-11-21.",In-Person,2,Scheduled Pickup
Jimmy,Watts,"Blackburn, Anderson and Green",25537 Kennedy Green,West Lesliemouth,New Jersey,75172,Large between wear draw in growth whom ground much.,BBQ Chicken,2025-04-06,2,2 times,"Financial trader, pizza enthusiast","2024-10-26, 2024-07-12 - 2025-04-06","Financial trader, pizza enthusiast. Contacted via Online Chat 2 times. Outcome: Scheduled Pickup. Ordered 2x BBQ Chicken on 2024-10-26.",Online Chat,2,Scheduled Pickup
