First Name,Last Name,Business Name,Street Address,City,State,Zip Code,Scraped Info,Purchase Item,Purchase Date,Purchase Quantity,Client Type,Customer Profile,"Date, First Purchase - Last Purchase",Customer Summary,Model of Communication,Frequency,Outcome
George,Liu,"Olson, Baker and Sosa",85757 Anthony Cliffs,Kristinaland,Minnesota,45146,Art blood enough another drug foot likely bad evening suffer newspaper about Mr site.,Listing,29-05-2024,77,Occasional,"Sub, with interest in property management","2024-03-24, 2023-01-14 - 2024-05-29","Sub, with interest in property management. Engaged via Meeting Set Up, Occasional frequency. Outcome: Requested Info. Purchased: 77 units of Listing on 2024-03-24.",Meeting Set Up,Occasional,Requested Info
Mia,Evans,Hunter and Sons,7552 Jensen Corner,Wellsshire,California,68522,Writer family east ask tell after fact once his ten share mother.,Maintenance Plan,17-09-2023,19,Occasional,"Ophthalmologist, with interest in property management","2023-07-24, 2023-02-08 - 2023-09-17","Ophthalmologist, with interest in property management. Engaged via Emailed, Occasional frequency. Outcome: Not Interested. Purchased: 19 units of Maintenance Plan on 2023-07-24.",Emailed,Occasional,Not Interested
John,Kennedy,"King, Walter and Wagner",4223 Richard Hollow,Jeremiahside,Illinois,52340,Expert fear her throughout visit spend go require here officer sure.,Inspection,17-07-2024,87,Frequent,"Rural practice surveyor, with interest in property management","2023-06-08, 2023-05-25 - 2024-07-17","Rural practice surveyor, with interest in property management. Engaged via Not Answered, Frequent frequency. Outcome: Pending Decision. Purchased: 87 units of Inspection on 2023-06-08.",Not Answered,Frequent,Pending Decision
Christopher,Brown,Pierce Group,3004 Amanda Stravenue Apt. 905,South Ashleyport,Nevada,90899,Spring spend score mouth early white pretty key.,Listing,03-09-2024,53,One-time,"Electrical engineer, with interest in property management","2024-06-10, 2022-05-06 - 2024-09-03","Electrical engineer, with interest in property management. Engaged via Followed Up, One-time frequency. Outcome: Pending Decision. Purchased: 53 units of Listing on 2024-06-10.",Followed Up,One-time,Pending Decision
Kathy,Lewis,"Case, Smith and Huffman",7180 Ray Stravenue Suite 666,East Christineland,Utah,98440,Article interest program accept along single.,Maintenance Plan,18-08-2024,35,Occasional,"Fine artist, with interest in property management","2024-05-07, 2022-07-16 - 2024-08-18","Fine artist, with interest in property management. Engaged via Responded, Occasional frequency. Outcome: Scheduled Appointment. Purchased: 35 units of Maintenance Plan on 2024-05-07.",Responded,Occasional,Scheduled Appointment
Ryan,Schaefer,Harper-Lambert,733 Robert Field,Samanthaview,Rhode Island,51914,Hot how too cut ago weight first begin statement.,Listing,26-01-2025,40,Frequent,"Commercial/residential surveyor, with interest in property management","2024-01-01, 2022-12-11 - 2025-01-26","Commercial/residential surveyor, with interest in property management. Engaged via Emailed, Frequent frequency. Outcome: Requested Info. Purchased: 40 units of Listing on 2024-01-01.",Emailed,Frequent,Requested Info
Shane,Smith,Robinson-Shields,9544 Chapman Drive Apt. 076,Jillborough,North Dakota,24672,Focus camera choose serious little leader find main leave probably society product help.,Inspection,28-02-2024,96,Occasional,"Engineer, energy, with interest in property management","2024-01-17, 2022-11-17 - 2024-02-28","Engineer, energy, with interest in property management. Engaged via Called, Occasional frequency. Outcome: Signed Up. Purchased: 96 units of Inspection on 2024-01-17.",Called,Occasional,Signed Up
Mary,Diaz,Pacheco Group,043 Jeffrey Oval Apt. 120,Port Brittanytown,Alabama,74008,Cell common cost off study land law focus toward social.,Inspection,02-12-2024,96,Occasional,"Video editor, with interest in property management","2024-09-05, 2023-01-19 - 2024-12-02","Video editor, with interest in property management. Engaged via Called, Occasional frequency. Outcome: Scheduled Appointment. Purchased: 96 units of Inspection on 2024-09-05.",Called,Occasional,Scheduled Appointment
Kiara,Jones,"Garcia, Carr and Taylor",3696 Johnson Stream,Walkermouth,Utah,8777,Position economy last feeling investment low movement tell arrive number nature pattern.,Rental Package,04-03-2025,45,Occasional,"Clinical molecular geneticist, with interest in property management","2025-02-23, 2024-02-23 - 2025-03-04","Clinical molecular geneticist, with interest in property management. Engaged via Called, Occasional frequency. Outcome: Pending Decision. Purchased: 45 units of Rental Package on 2025-02-23.",Called,Occasional,Pending Decision
Natalie,Poole,"Kelly, Reynolds and Cruz",25536 Mata Village Suite 063,Port Staceyton,Texas,23393,Newspaper these until hot talk where role.,Inspection,27-09-2024,19,Frequent,"Restaurant manager, with interest in property management","2024-09-24, 2024-06-23 - 2024-09-27","Restaurant manager, with interest in property management. Engaged via Not Answered, Frequent frequency. Outcome: Requested Info. Purchased: 19 units of Inspection on 2024-09-24.",Not Answered,Frequent,Requested Info
